01147,01,DOMSURE,Domsure
01148,01,DORTAN,Dortan
01149,01,DOUVRES,Douvres
01150,01,DROM,Drom
01151,01,DRUILLAT,Druillat
01152,01,ECHALLON,Échallon
01153,01,ECHENEVEX,Échenevex
01155,01,EVOSGES,Évosges
01156,01,FARAMANS,Faramans
01157,01,FAREINS,Fareins
01158,01,FARGES,Farges
01159,01,FEILLENS,Feillens
01160,01,FERNEY VOLTAIRE,Ferney-Voltaire
01162,01,FLAXIEU,Flaxieu
01163,01,FOISSIAT,Foissiat
01165,01,FRANCHELEINS,Francheleins
01166,01,FRANS,Frans
01167,01,GARNERANS,Garnerans
01169,01,GENOUILLEUX,Genouilleux
01170,01,BEARD GEOVREISSIAT,Béard-Géovreissiat
01171,01,GEOVREISSET,Géovreisset
01173,01,GEX,Gex
01174,01,GIRON,Giron
01175,01,GORREVOD,Gorrevod
01177,01,GRAND CORENT,Grand-Corent
01179,01,GRIEGES,Grièges
01180,01,GRILLY,Grilly
01181,01,GROISSIAT,Groissiat
01183,01,GUEREINS,Guéreins
01184,01,HAUTECOURT ROMANECHE,Hautecourt-Romanèche
01185,01,PLATEAU D HAUTEVILLE,Plateau d'Hauteville
01187,01,HAUT VALROMEY,Haut Valromey
01188,01,ILLIAT,Illiat
01189,01,INJOUX GENISSIAT,Injoux-Génissiat
01190,01,INNIMOND,Innimond
01191,01,IZENAVE,Izenave
01192,01,IZERNORE,Izernore
01193,01,IZIEU,Izieu
01194,01,JASSANS RIOTTIER,Jassans-Riottier
01195,01,JASSERON,Jasseron
01196,01,JAYAT,Jayat
01197,01,JOURNANS,Journans
01198,01,JOYEUX,Joyeux
01199,01,JUJURIEUX,Jujurieux
01200,01,LABALME,Labalme
01202,01,LAGNIEU,Lagnieu
01203,01,LAIZ,Laiz
01204,01,POIZAT LALLEYRIAT,Le Poizat-Lalleyriat
01206,01,LANTENAY,Lantenay
01207,01,LAPEYROUSE,Lapeyrouse
01208,01,LAVOURS,Lavours
01209,01,LEAZ,Léaz
01210,01,LELEX,Lélex
01211,01,LENT,Lent
01212,01,LESCHEROUX,Lescheroux
01213,01,LEYMENT,Leyment
01214,01,LEYSSARD,Leyssard
01215,01,SURJOUX LHOPITAL,Surjoux-Lhopital
01216,01,LHUIS,Lhuis
01219,01,LOMPNAS,Lompnas
01224,01,LOYETTES,Loyettes
01225,01,LURCY,Lurcy
01227,01,MAGNIEU,Magnieu
